,Hardware,Unnamed: 0,benchmark_name,count,extra_time_to_execute(us),inference_time(us),input_shape,input_type,num_of_batches,num_of_channels,num_threads
80,Desktop(CPU + GPU),80.0,graphmaximum_elementwise_80_float_f,50,0.0,187.48,"80,80",float,1,3,5
81,NCS2,81.0,graphmaximum_elementwise_80_float_f,50,3730.0,80.0,"80,80",float,1,3,5
82,Desktop(CPU + GPU),82.0,graphmaximum_elementwise_80_float_f,50,0.0,161.18,"80,80",float,1,3,6
83,NCS2,83.0,graphmaximum_elementwise_80_float_f,50,3570.0,80.0,"80,80",float,1,3,6
84,Desktop(CPU + GPU),84.0,graphmaximum_elementwise_80_float_f,50,0.0,168.64,"80,80",float,1,3,7
85,NCS2,85.0,graphmaximum_elementwise_80_float_f,50,3510.0,90.0,"80,80",float,1,3,7
86,Desktop(CPU + GPU),86.0,graphmaximum_elementwise_80_float_f,50,0.0,176.68,"80,80",float,1,3,8
87,NCS2,87.0,graphmaximum_elementwise_80_float_f,50,3550.0,100.0,"80,80",float,1,3,8
88,Desktop(CPU + GPU),88.0,graphmaximum_elementwise_80_float_f,50,0.0,190.18,"80,80",float,1,3,9
89,NCS2,89.0,graphmaximum_elementwise_80_float_f,50,3570.0,90.0,"80,80",float,1,3,9
90,Desktop(CPU + GPU),90.0,graphmaximum_elementwise_80_float_f,50,0.0,180.34,"80,80",float,1,3,10
91,NCS2,91.0,graphmaximum_elementwise_80_float_f,50,3530.0,90.0,"80,80",float,1,3,10
92,Desktop(CPU + GPU),92.0,graphmaximum_elementwise_80_float_f,50,0.0,170.94,"80,80",float,1,3,11
93,NCS2,93.0,graphmaximum_elementwise_80_float_f,50,3500.0,60.0,"80,80",float,1,3,11
94,Desktop(CPU + GPU),94.0,graphmaximum_elementwise_80_float_f,50,0.0,181.56,"80,80",float,1,3,12
95,NCS2,95.0,graphmaximum_elementwise_80_float_f,50,3880.0,60.0,"80,80",float,1,3,12
96,Desktop(CPU + GPU),96.0,graphmaximum_elementwise_100_float_f,50,0.0,176.46,"100,100",float,1,3,1
97,NCS2,97.0,graphmaximum_elementwise_100_float_f,50,4600.0,140.0,"100,100",float,1,3,1
98,Desktop(CPU + GPU),98.0,graphmaximum_elementwise_100_float_f,50,0.0,156.76,"100,100",float,1,3,2
99,NCS2,99.0,graphmaximum_elementwise_100_float_f,50,4520.0,110.0,"100,100",float,1,3,2
100,Desktop(CPU + GPU),100.0,graphmaximum_elementwise_100_float_f,50,0.0,201.28,"100,100",float,1,3,3
101,NCS2,101.0,graphmaximum_elementwise_100_float_f,50,4520.0,80.0,"100,100",float,1,3,3
102,Desktop(CPU + GPU),102.0,graphmaximum_elementwise_100_float_f,50,0.0,198.68,"100,100",float,1,3,4
103,NCS2,103.0,graphmaximum_elementwise_100_float_f,50,4830.0,150.0,"100,100",float,1,3,4
104,Desktop(CPU + GPU),104.0,graphmaximum_elementwise_100_float_f,50,0.0,167.18,"100,100",float,1,3,5
105,NCS2,105.0,graphmaximum_elementwise_100_float_f,50,4980.0,90.0,"100,100",float,1,3,5
106,Desktop(CPU + GPU),106.0,graphmaximum_elementwise_100_float_f,50,0.0,177.12,"100,100",float,1,3,6
107,NCS2,107.0,graphmaximum_elementwise_100_float_f,50,4710.0,90.0,"100,100",float,1,3,6
108,Desktop(CPU + GPU),108.0,graphmaximum_elementwise_100_float_f,50,0.0,175.64,"100,100",float,1,3,7
109,NCS2,109.0,graphmaximum_elementwise_100_float_f,50,4870.0,110.0,"100,100",float,1,3,7
110,Desktop(CPU + GPU),110.0,graphmaximum_elementwise_100_float_f,50,0.0,183.72,"100,100",float,1,3,8
111,NCS2,111.0,graphmaximum_elementwise_100_float_f,50,4870.0,100.0,"100,100",float,1,3,8
112,Desktop(CPU + GPU),112.0,graphmaximum_elementwise_100_float_f,50,0.0,178.42,"100,100",float,1,3,9
113,NCS2,113.0,graphmaximum_elementwise_100_float_f,50,4730.0,100.0,"100,100",float,1,3,9
114,Desktop(CPU + GPU),114.0,graphmaximum_elementwise_100_float_f,50,0.0,189.04,"100,100",float,1,3,10
115,NCS2,115.0,graphmaximum_elementwise_100_float_f,50,4720.0,100.0,"100,100",float,1,3,10
116,Desktop(CPU + GPU),116.0,graphmaximum_elementwise_100_float_f,50,0.0,208.84,"100,100",float,1,3,11
117,NCS2,117.0,graphmaximum_elementwise_100_float_f,50,4820.0,100.0,"100,100",float,1,3,11
118,Desktop(CPU + GPU),118.0,graphmaximum_elementwise_100_float_f,50,0.0,207.02,"100,100",float,1,3,12
119,NCS2,119.0,graphmaximum_elementwise_100_float_f,50,4970.0,120.0,"100,100",float,1,3,12
120,Desktop(CPU + GPU),120.0,graphmaximum_elementwise_224_float_f,50,0.0,268.1,"224,224",float,1,3,1
121,NCS2,121.0,graphmaximum_elementwise_224_float_f,50,17160.0,530.0,"224,224",float,1,3,1
122,Desktop(CPU + GPU),122.0,graphmaximum_elementwise_224_float_f,50,0.0,215.16,"224,224",float,1,3,2
123,NCS2,123.0,graphmaximum_elementwise_224_float_f,50,17840.0,320.0,"224,224",float,1,3,2
124,Desktop(CPU + GPU),124.0,graphmaximum_elementwise_224_float_f,50,0.0,244.0,"224,224",float,1,3,3
125,NCS2,125.0,graphmaximum_elementwise_224_float_f,50,17590.0,290.0,"224,224",float,1,3,3
126,Desktop(CPU + GPU),126.0,graphmaximum_elementwise_224_float_f,50,0.0,322.34,"224,224",float,1,3,4
127,NCS2,127.0,graphmaximum_elementwise_224_float_f,50,17720.0,280.0,"224,224",float,1,3,4
128,Desktop(CPU + GPU),128.0,graphmaximum_elementwise_224_float_f,50,0.0,268.54,"224,224",float,1,3,5
129,NCS2,129.0,graphmaximum_elementwise_224_float_f,50,17380.0,300.0,"224,224",float,1,3,5
130,Desktop(CPU + GPU),130.0,graphmaximum_elementwise_224_float_f,50,0.0,288.96,"224,224",float,1,3,6
131,NCS2,131.0,graphmaximum_elementwise_224_float_f,50,16980.0,280.0,"224,224",float,1,3,6
132,Desktop(CPU + GPU),132.0,graphmaximum_elementwise_224_float_f,50,0.0,264.62,"224,224",float,1,3,7
133,NCS2,133.0,graphmaximum_elementwise_224_float_f,50,17450.0,280.0,"224,224",float,1,3,7
134,Desktop(CPU + GPU),134.0,graphmaximum_elementwise_224_float_f,50,0.0,271.44,"224,224",float,1,3,8
135,NCS2,135.0,graphmaximum_elementwise_224_float_f,50,17580.0,280.0,"224,224",float,1,3,8
136,Desktop(CPU + GPU),136.0,graphmaximum_elementwise_224_float_f,50,0.0,281.86,"224,224",float,1,3,9
137,NCS2,137.0,graphmaximum_elementwise_224_float_f,50,16970.0,290.0,"224,224",float,1,3,9
138,Desktop(CPU + GPU),138.0,graphmaximum_elementwise_224_float_f,50,0.0,272.66,"224,224",float,1,3,10
139,NCS2,139.0,graphmaximum_elementwise_224_float_f,50,17040.0,280.0,"224,224",float,1,3,10
140,Desktop(CPU + GPU),140.0,graphmaximum_elementwise_224_float_f,50,0.0,291.14,"224,224",float,1,3,11
141,NCS2,141.0,graphmaximum_elementwise_224_float_f,50,17070.0,290.0,"224,224",float,1,3,11
142,Desktop(CPU + GPU),142.0,graphmaximum_elementwise_224_float_f,50,0.0,267.34,"224,224",float,1,3,12
143,NCS2,143.0,graphmaximum_elementwise_224_float_f,50,17370.0,300.0,"224,224",float,1,3,12
144,Desktop(CPU + GPU),144.0,graphmaximum_elementwise_400_float_f,50,0.0,461.8,"400,400",float,1,3,1
145,NCS2,145.0,graphmaximum_elementwise_400_float_f,50,52720.0,1520.0,"400,400",float,1,3,1
146,Desktop(CPU + GPU),146.0,graphmaximum_elementwise_400_float_f,50,0.0,431.12,"400,400",float,1,3,2
147,NCS2,147.0,graphmaximum_elementwise_400_float_f,50,50750.0,900.0,"400,400",float,1,3,2
148,Desktop(CPU + GPU),148.0,graphmaximum_elementwise_400_float_f,50,0.0,440.82,"400,400",float,1,3,3
149,NCS2,149.0,graphmaximum_elementwise_400_float_f,50,50250.0,860.0,"400,400",float,1,3,3
150,Desktop(CPU + GPU),150.0,graphmaximum_elementwise_400_float_f,50,0.0,405.68,"400,400",float,1,3,4
151,NCS2,151.0,graphmaximum_elementwise_400_float_f,50,71680.0,820.0,"400,400",float,1,3,4
152,Desktop(CPU + GPU),152.0,graphmaximum_elementwise_400_float_f,50,0.0,498.22,"400,400",float,1,3,5
153,NCS2,153.0,graphmaximum_elementwise_400_float_f,50,50660.0,820.0,"400,400",float,1,3,5
154,Desktop(CPU + GPU),154.0,graphmaximum_elementwise_400_float_f,50,0.0,504.44,"400,400",float,1,3,6
155,NCS2,155.0,graphmaximum_elementwise_400_float_f,50,50870.0,810.0,"400,400",float,1,3,6
156,Desktop(CPU + GPU),156.0,graphmaximum_elementwise_400_float_f,50,0.0,497.1,"400,400",float,1,3,7
157,NCS2,157.0,graphmaximum_elementwise_400_float_f,50,50780.0,820.0,"400,400",float,1,3,7
158,Desktop(CPU + GPU),158.0,graphmaximum_elementwise_400_float_f,50,0.0,444.64,"400,400",float,1,3,8
159,NCS2,159.0,graphmaximum_elementwise_400_float_f,50,52520.0,820.0,"400,400",float,1,3,8
160,Desktop(CPU + GPU),160.0,graphmaximum_elementwise_400_float_f,50,0.0,476.86,"400,400",float,1,3,9
161,NCS2,161.0,graphmaximum_elementwise_400_float_f,50,50930.0,820.0,"400,400",float,1,3,9
162,Desktop(CPU + GPU),162.0,graphmaximum_elementwise_400_float_f,50,0.0,562.44,"400,400",float,1,3,10
163,NCS2,163.0,graphmaximum_elementwise_400_float_f,50,52420.0,820.0,"400,400",float,1,3,10
164,Desktop(CPU + GPU),164.0,graphmaximum_elementwise_400_float_f,50,0.0,492.02,"400,400",float,1,3,11
165,NCS2,165.0,graphmaximum_elementwise_400_float_f,50,50650.0,830.0,"400,400",float,1,3,11
166,Desktop(CPU + GPU),166.0,graphmaximum_elementwise_400_float_f,50,0.0,514.26,"400,400",float,1,3,12
167,NCS2,167.0,graphmaximum_elementwise_400_float_f,50,51560.0,820.0,"400,400",float,1,3,12
168,Desktop(CPU + GPU),168.0,graphmaximum_elementwise_600_float_f,50,0.0,1056.78,"600,600",float,1,3,1
169,NCS2,169.0,graphmaximum_elementwise_600_float_f,50,112740.0,3430.0,"600,600",float,1,3,1
170,Desktop(CPU + GPU),170.0,graphmaximum_elementwise_600_float_f,50,0.0,715.5,"600,600",float,1,3,2
171,NCS2,171.0,graphmaximum_elementwise_600_float_f,50,112520.0,1940.0,"600,600",float,1,3,2
172,Desktop(CPU + GPU),172.0,graphmaximum_elementwise_600_float_f,50,0.0,926.76,"600,600",float,1,3,3
173,NCS2,173.0,graphmaximum_elementwise_600_float_f,50,112910.0,1800.0,"600,600",float,1,3,3
174,Desktop(CPU + GPU),174.0,graphmaximum_elementwise_600_float_f,50,0.0,911.82,"600,600",float,1,3,4
175,NCS2,175.0,graphmaximum_elementwise_600_float_f,50,112610.0,1790.0,"600,600",float,1,3,4
176,Desktop(CPU + GPU),176.0,graphmaximum_elementwise_600_float_f,50,0.0,896.18,"600,600",float,1,3,5
177,NCS2,177.0,graphmaximum_elementwise_600_float_f,50,115680.0,1780.0,"600,600",float,1,3,5
178,Desktop(CPU + GPU),178.0,graphmaximum_elementwise_600_float_f,50,0.0,1049.64,"600,600",float,1,3,6
179,NCS2,179.0,graphmaximum_elementwise_600_float_f,50,110880.0,1770.0,"600,600",float,1,3,6
180,Desktop(CPU + GPU),180.0,graphmaximum_elementwise_600_float_f,50,0.0,1107.66,"600,600",float,1,3,7
181,NCS2,181.0,graphmaximum_elementwise_600_float_f,50,114560.0,1780.0,"600,600",float,1,3,7
182,Desktop(CPU + GPU),182.0,graphmaximum_elementwise_600_float_f,50,0.0,954.82,"600,600",float,1,3,8
183,NCS2,183.0,graphmaximum_elementwise_600_float_f,50,114600.0,1780.0,"600,600",float,1,3,8
184,Desktop(CPU + GPU),184.0,graphmaximum_elementwise_600_float_f,50,0.0,901.24,"600,600",float,1,3,9
185,NCS2,185.0,graphmaximum_elementwise_600_float_f,50,116960.0,1760.0,"600,600",float,1,3,9
186,Desktop(CPU + GPU),186.0,graphmaximum_elementwise_600_float_f,50,0.0,1020.34,"600,600",float,1,3,10
187,NCS2,187.0,graphmaximum_elementwise_600_float_f,50,115450.0,1780.0,"600,600",float,1,3,10
188,Desktop(CPU + GPU),188.0,graphmaximum_elementwise_600_float_f,50,0.0,1101.12,"600,600",float,1,3,11
189,NCS2,189.0,graphmaximum_elementwise_600_float_f,50,115610.0,1770.0,"600,600",float,1,3,11
190,Desktop(CPU + GPU),190.0,graphmaximum_elementwise_600_float_f,50,0.0,1032.9,"600,600",float,1,3,12
191,NCS2,191.0,graphmaximum_elementwise_600_float_f,50,111570.0,1770.0,"600,600",float,1,3,12
192,Desktop(CPU + GPU),192.0,graphmaximum_elementwise_800_float_f,50,0.0,1779.36,"800,800",float,1,3,1
193,NCS2,193.0,graphmaximum_elementwise_800_float_f,50,209670.0,5980.0,"800,800",float,1,3,1
194,Desktop(CPU + GPU),194.0,graphmaximum_elementwise_800_float_f,50,0.0,1656.76,"800,800",float,1,3,2
195,NCS2,195.0,graphmaximum_elementwise_800_float_f,50,197330.0,3350.0,"800,800",float,1,3,2
196,Desktop(CPU + GPU),196.0,graphmaximum_elementwise_800_float_f,50,0.0,1461.6,"800,800",float,1,3,3
197,NCS2,197.0,graphmaximum_elementwise_800_float_f,50,200710.0,3090.0,"800,800",float,1,3,3
