Host_Submission,Tpu_Comms,Tpu_Return,Inference,Total
6.899999999987472e-05,6.100000000008876e-05,2.9999999999752447e-06,6.100000000008876e-05,0.00013299999999993872
0.0003340000000000565,7.00000000000145e-05,2.9999999999752447e-06,7.00000000000145e-05,0.0004070000000000462
0.0001289999999998237,6.100000000008876e-05,2.9999999999752447e-06,6.100000000008876e-05,0.0001929999999998877
0.00015100000000023428,6.599999999989947e-05,1.9999999998354667e-06,6.599999999989947e-05,0.00021899999999996922
0.0001449999999998397,6.500000000020378e-05,2.9999999999752447e-06,6.500000000020378e-05,0.00021300000000001873
6.899999999987472e-05,6.700000000003925e-05,1.0999999999983245e-05,6.700000000003925e-05,0.0001469999999998972
6.700000000003925e-05,6.499999999998174e-05,2.0000000000575113e-06,6.499999999998174e-05,0.0001340000000000785
4.8000000000048004e-05,5.799999999989147e-05,5.100000000002325e-05,5.799999999989147e-05,0.00015699999999996272
6.800000000017903e-05,6.599999999989947e-05,5.999999999950489e-06,6.599999999989947e-05,0.000140000000000029
6.699999999959516e-05,6.000000000039307e-05,2.9999999999752447e-06,6.000000000039307e-05,0.00012999999999996348
6.500000000020378e-05,6.199999999978445e-05,2.9999999999752447e-06,6.199999999978445e-05,0.00012999999999996348
7.299999999998974e-05,6.700000000003925e-05,2.9999999999752447e-06,6.700000000003925e-05,0.00014300000000000423
6.100000000008876e-05,6.4000000000064e-05,2.9999999999752447e-06,6.4000000000064e-05,0.000128000000000128
8.699999999994823e-05,4.399999999993298e-05,2.300000000010627e-05,4.399999999993298e-05,0.00015399999999998748
6.300000000014627e-05,6.700000000003925e-05,1.9999999998354667e-06,6.700000000003925e-05,0.000132000000000021
9.100000000006325e-05,6.899999999987472e-05,2.0000000000575113e-06,6.899999999987472e-05,0.00016199999999999548
9.399999999981645e-05,6.500000000020378e-05,3.999999999892978e-06,6.500000000020378e-05,0.00016299999999991321
6.100000000008876e-05,6.100000000008876e-05,1.9999999998354667e-06,6.100000000008876e-05,0.000124000000000013
6.300000000036832e-05,6.49999999997597e-05,4.000000000115023e-06,6.49999999997597e-05,0.00013200000000024303
8.900000000000574e-05,7.00000000000145e-05,2.9999999999752447e-06,7.00000000000145e-05,0.00016199999999999548
7.100000000015427e-05,5.500000000013827e-05,3.899999999967818e-05,5.500000000013827e-05,0.00016499999999997073
6.0999999999866716e-05,7.700000000010476e-05,2.9999999999752447e-06,7.700000000010476e-05,0.00014099999999994672
6.600000000012152e-05,5.799999999989147e-05,4.500000000007276e-05,5.799999999989147e-05,0.00016900000000008575
5.8999999999809205e-05,6.20000000000065e-05,2.9999999999752447e-06,6.20000000000065e-05,0.00012399999999979094
9.700000000001374e-05,6.0999999999866716e-05,2.9999999999752447e-06,6.0999999999866716e-05,0.0001609999999998557
5.8999999999809205e-05,6.90000000003188e-05,3.9999999996709334e-06,6.90000000003188e-05,0.00013199999999979894
0.00017099999999992122,8.000000000008001e-05,4.000000000115023e-06,8.000000000008001e-05,0.00025500000000011624
0.0005630000000000912,7.49999999998252e-05,1.4999999999876223e-05,7.49999999998252e-05,0.0006529999999997926
6.200000000022854e-05,6.4000000000064e-05,1.9999999998354667e-06,6.4000000000064e-05,0.000128000000000128
0.00012399999999979094,7.400000000012952e-05,2.9999999999752447e-06,7.400000000012952e-05,0.0002009999999998957
8.399999999997299e-05,6.900000000009676e-05,2.9999999999752447e-06,6.900000000009676e-05,0.000156000000000045
0.00011199999999988997,6.4000000000064e-05,2.9999999999752447e-06,6.4000000000064e-05,0.00017899999999992922
8.399999999997299e-05,6.700000000003925e-05,2.0000000000575113e-06,6.700000000003925e-05,0.00015300000000006975
2.300000000010627e-05,7.099999999993223e-05,2.9999999999752447e-06,7.099999999993223e-05,9.700000000001374e-05
2.8000000000139025e-05,7.099999999993223e-05,5.100000000002325e-05,7.099999999993223e-05,0.0001500000000000945
2.9000000000056758e-05,6.599999999989947e-05,4.4000000000155026e-05,6.599999999989947e-05,0.00013900000000011126
4.199999999987547e-05,6.20000000000065e-05,4.399999999993298e-05,6.20000000000065e-05,0.00014799999999981495
6.900000000009676e-05,4.500000000007276e-05,3.799999999998249e-05,4.500000000007276e-05,0.000152000000000152
5.599999999983396e-05,6.4000000000064e-05,2.9999999999752447e-06,6.4000000000064e-05,0.0001229999999998732
6.799999999995698e-05,7.00000000000145e-05,2.9999999999752447e-06,7.00000000000145e-05,0.00014099999999994672
6.299999999992423e-05,5.100000000002325e-05,4.6999999999908226e-05,5.100000000002325e-05,0.0001609999999998557
